abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,weight_kg,generation,is_fire_type,is_water_type,is_grass_type,is_electric_type,is_ground_type,is_bug_type,is_normal_type,is_ice_type,is_flying_type,is_poison_type,is_fighting_type,is_rock_type,is_steel_type,is_fairy_type,is_dark_type,is_ghost_type,is_dragon_type,is_psychic_type,pure_type,base_egg_steps
"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,>=70,314,45.0,Tiny Turtle Pokémon,65,1M-1.25M,0.5,44,Zenigameゼニガメ,Squirtle,>50,7,50,64,43,9.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Dry Skin', 'Sand Veil', 'Solar Power']",1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.5,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,38,>=70,289,190.0,Generator Pokémon,33,1M-1.25M,0.5,44,Erikiteruエリキテル,Helioptile,50,694,61,43,70,6.0,6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5120
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,65,<70,411,30.0,Music Note Pokémon,45,1M-1.25M,0.5,76,Perapペラップ,Chatot,50,441,92,42,91,1.9,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Innards Out', 'Unaware']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,60,>=70,410,60.0,Sea Cucumber Pokémon,130,<1M,0.3,55,Namakobushiナマコブシ,Pyukumuku,50,771,30,130,5,1.2,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,<=3840
['Forecast'],1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,>=70,420,45.0,Weather Pokémon,70,1M-1.25M,0.3,70,Powalenポワルン,Castform,50,351,70,70,70,0.8,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,6400
"['Prankster', 'Infiltrator', 'Chlorophyll']",1.0,0.5,0.0,0.5,1.0,0.5,2.0,2.0,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5,27,>=70,280,190.0,Cotton Puff Pokémon,60,1M-1.25M,0.3,40,Monmenモンメン,Cottonee,50,546,37,50,66,0.6,5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5120
"['Flash Fire', 'Flame Body', 'Infiltrator']",0.25,2.0,1.0,1.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0,30,>=70,275,190.0,Candle Pokémon,55,1M-1.25M,0.3,50,Hitomoshiヒトモシ,Litwick,50,607,65,55,20,3.1,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5120
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,>=70,250,190.0,Lava Pokémon,40,1M-1.25M,0.7,40,Magmagマグマッグ,Slugma,50,218,70,40,20,35.0,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Natural Cure', 'Cloud Nine']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,40,>=70,310,255.0,Cotton Bird Pokémon,60,<1M,0.4,45,Tylttoチルット,Swablu,50,333,40,75,50,1.2,3,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85,<70,405,30.0,Darkness Pokémon,42,1M-1.25M,0.5,60,Yamikarasuヤミカラス,Murkrow,50,198,85,42,91,2.1,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,5120
"['Run Away', 'Early Bird', 'Tangled Feet']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,>=70,310,190.0,Twin Bird Pokémon,45,1M-1.25M,1.4,35,Dodoドードー,Doduo,50,84,35,35,75,39.2,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Gluttony', 'Flash Fire', 'White Smoke']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,97,>=70,484,90.0,Anteater Pokémon,66,1M-1.25M,1.4,85,Kuitaranクイタラン,Heatmor,50,631,105,66,65,58.0,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Inner Focus', 'Ice Body', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,50,>=70,300,190.0,Snow Hat Pokémon,50,1M-1.25M,0.7,50,Yukiwarashiユキワラシ,Snorunt,50,361,50,50,50,16.8,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,5120
"['Guts', 'No Guard', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,>=70,305,180.0,Superpower Pokémon,50,1M-1.25M,0.8,70,Wanrikyワンリキー,Machop,>50,66,35,35,35,19.5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,5120
"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,>=70,385,45.0,Licking Pokémon,75,1M-1.25M,1.2,90,Beroringaベロリンガ,Lickitung,50,108,60,75,30,65.5,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65,>=70,390,75.0,Clear Wing Pokémon,45,1M-1.25M,1.2,65,Yanyanmaヤンヤンマ,Yanma,50,193,75,45,95,38.0,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,20,>=70,345,25.0,Kite Pokémon,50,>=1.25M,1.0,45,Tamantaタマンタ,Mantyke,50,458,60,120,50,65.0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6400
"['Soundproof', 'Filter', 'Technician']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,25,>=70,310,145.0,Mime Pokémon,45,1M-1.25M,0.6,20,Maneneマネネ,Mime Jr.,50,439,70,90,60,13.0,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,6400
['Levitate'],2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,100,>=70,454,200.0,Bug Catcher Pokémon,72,>=1.25M,1.4,74,Muskippaマスキッパ,Carnivine,50,455,90,72,46,27.0,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6400
"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,>=70,360,45.0,Long Tail Pokémon,55,<1M,0.8,55,Eipamエイパム,Aipom,50,190,40,55,85,11.5,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,5120
"['Keen Eye', 'Hydration', 'Rain Dish']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,30,>=70,270,190.0,Seagull Pokémon,30,1M-1.25M,0.6,40,Camomeキャモメ,Wingull,50,278,55,30,85,9.5,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5120
"['Run Away', 'Keen Eye', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,>=70,255,255.0,Scout Pokémon,39,1M-1.25M,0.5,45,Minezumiミネズミ,Patrat,50,504,35,39,42,11.6,5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,<=3840
"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55,>=70,410,60.0,Coral Pokémon,95,<1M,0.6,65,Sunnygoサニーゴ,Corsola,<50,222,65,95,35,5.0,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5120
"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,>=70,195,255.0,Hairy Pokémon,30,1M-1.25M,0.3,40,Beedleビードル,Weedle,50,13,20,20,50,3.2,1,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,<=3840
